# time, Temperature (C)
0,149.86
1.26000000000931,286.68
2.33099999999831,393.69
3.39999999999418,451.75
4.46100000000297,479.58
5.4690000000046,493.61
6.50100000001112,500.81
7.70000000000437,505.03
8.7190000000046,506.37
9.93899999999849,507.41
11.2099999999991,507.19
12.25,506.99
13.3700000000099,507.27
14.3899999999994,507.02
15.5889999999999,507.17
16.6989999999932,506.57
17.9010000000053,507.34
18.9690000000119,506.38
20.0610000000015,506.17
21.2390000000014,506.79
22.3199999999924,506.03
23.4599999999991,506.48
24.5599999999977,506.12
25.7390000000014,506.4
26.8600000000006,506.68
28.0110000000059,506.49
29.0999999999985,506.73
30.260000000002,507.03
31.3510000000024,507.17
32.4100000000035,507.59
33.6100000000079,508.08
34.6589999999996,509.29
35.7199999999939,508.56
36.9000000000015,508.52
37.9389999999985,509.13
39.0290000000023,508.81
40.2099999999991,508.81
41.3410000000004,508.84
42.4199999999983,509.69
43.5290000000096,508.78
44.6100000000006,509.3
45.6600000000035,508.75
46.7790000000023,509.32
47.8590000000113,509.49
48.9190000000017,509.63
49.9699999999939,509.5
51.0500000000029,509.24
52.0790000000052,510.01
53.221000000005,510.06
54.4500000000044,509.89
55.5390000000043,509.41
56.7300000000032,509.68
57.7709999999934,509.54
58.8700000000026,510.1
59.9399999999951,449.75
61.0690000000031,295.17
62.2400000000052,222.55
63.4089999999997,189.24
64.5299999999988,174.1
65.599000000002,166.47
66.6290000000008,162.66
67.7690000000002,160.27
68.810000000005,159
69.8189999999959,158.38
70.9809999999998,157.85
72.1900000000023,157.61
73.320000000007,157.58
74.5,157.33
75.5690000000031,157.33
76.7099999999919,157.05
