#time, Temperature (C)
0,147.11
1.26000000000931,150.32
2.33099999999831,157.94
3.39999999999418,163.42
4.46100000000297,165.5
5.4690000000046,166.06
6.50100000001112,166.36
7.70000000000437,166.53
8.7190000000046,166.8
9.93899999999849,166.69
11.2099999999991,166.61
12.25,166.51
13.3700000000099,166.77
14.3899999999994,166.79
15.5889999999999,166.84
16.6989999999932,166.72
17.9010000000053,166.68
18.9690000000119,166.95
20.0610000000015,166.94
21.2390000000014,166.82
22.3199999999924,167.23
23.4599999999991,166.99
24.5599999999977,167.17
25.7390000000014,167.21
26.8600000000006,167.49
28.0110000000059,167.51
29.0999999999985,167.4
30.260000000002,167.41
31.3510000000024,167.53
32.4100000000035,167.51
33.6100000000079,167.85
34.6589999999996,168.04
35.7199999999939,168
36.9000000000015,168.21
37.9389999999985,168.13
39.0290000000023,168.29
40.2099999999991,168.26
41.3410000000004,168.45
42.4199999999983,168.53
43.5290000000096,168.39
44.6100000000006,168.36
45.6600000000035,168.46
46.7790000000023,168.5
47.8590000000113,168.61
48.9190000000017,168.54
49.9699999999939,168.67
51.0500000000029,168.57
52.0790000000052,168.59
53.221000000005,168.67
54.4500000000044,168.74
55.5390000000043,168.86
56.7300000000032,168.96
57.7709999999934,168.92
58.8700000000026,168.94
59.9399999999951,168.28
61.0690000000031,165.08
62.2400000000052,159.47
63.4089999999997,155.25
64.5299999999988,152.86
65.599000000002,151.59
66.6290000000008,151.06
67.7690000000002,150.51
68.810000000005,150.45
69.8189999999959,150.39
70.9809999999998,150.3
72.1900000000023,150.42
73.320000000007,150.35
74.5,150.37
75.5690000000031,150.46
76.7099999999919,150.24
