#time, Temperature (C)
0,149.45
1.26000000000931,181.41
2.33099999999831,216.39
3.39999999999418,232.27
4.46100000000297,238.11
5.4690000000046,240.65
6.50100000001112,241.75
7.70000000000437,242.32
8.7190000000046,242.61
9.93899999999849,242.55
11.2099999999991,242.34
12.25,242.3
13.3700000000099,242.5
14.3899999999994,242.47
15.5889999999999,242.64
16.6989999999932,242.61
17.9010000000053,242.72
18.9690000000119,242.91
20.0610000000015,242.99
21.2390000000014,243.06
22.3199999999924,243.12
23.4599999999991,243.31
24.5599999999977,243.54
25.7390000000014,243.86
26.8600000000006,243.98
28.0110000000059,244.06
29.0999999999985,244.19
30.260000000002,244.58
31.3510000000024,245.01
32.4100000000035,245.26
33.6100000000079,245.88
34.6589999999996,246.33
35.7199999999939,246.37
36.9000000000015,246.53
37.9389999999985,246.78
39.0290000000023,246.94
40.2099999999991,247.2
41.3410000000004,247.17
42.4199999999983,247.61
43.5290000000096,247.35
44.6100000000006,247.6
45.6600000000035,247.59
46.7790000000023,247.99
47.8590000000113,248.22
48.9190000000017,248.16
49.9699999999939,248.3
51.0500000000029,248.6
52.0790000000052,248.6
53.221000000005,248.91
54.4500000000044,248.89
55.5390000000043,248.9
56.7300000000032,249.11
57.7709999999934,249.43
58.8700000000026,249.62
59.9399999999951,241.32
61.0690000000031,207.35
62.2400000000052,183.7
63.4089999999997,170.91
64.5299999999988,164.75
65.599000000002,161.67
66.6290000000008,160.19
67.7690000000002,159.12
68.810000000005,158.65
69.8189999999959,158.4
70.9809999999998,158.21
72.1900000000023,158.16
73.320000000007,158.1
74.5,157.87
75.5690000000031,157.96
76.7099999999919,157.86
